company,cik,metric_id,source_url,repo_relative_path,content_sha256,accession,document_name,concept_or_section,context_or_dimension,unit,period_start,period_end,value_raw,value_normalized,evidence_quote,extraction_method,parser_version
Southwest Airlines,92380,B07,https://data.sec.gov/api/xbrl/companyfacts/CIK0000092380.json,evidence/request_attempts/7c/7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b/CIK0000092380.json,7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b,0000092380-26-000004,CIK0000092380.json,OperatingIncomeLoss,"{""attributes"": {""accession"": ""0000092380-26-000004"", ""deterministic_router_semantic_version"": ""2"", ""entity"": ""92380"", ""filed"": ""2026-02-05"", ""fiscal_period"": ""FY"", ""form"": ""10-K"", ""frame"": ""CY2025""}, ""locator"": {""concept"": ""OperatingIncomeLoss"", ""fact_id"": ""fact:sha256:1b1064f17948f4b2fa64991804f05d91178ffe5e15a26963691b4debdcfa3a97"", ""period_end"": ""2025-12-31"", ""period_start"": ""2025-01-01""}, ""verified_claim_id"": ""sha256:495aed89249a638606485fc6d9e7dad930a2fd9292d08c47eb0945336a973b0b""}",USD,2025-01-01,2025-12-31,,428000000,"Parsed source fact: {""locator"": {""concept"": ""OperatingIncomeLoss"", ""fact_id"": ""fact:sha256:1b1064f17948f4b2fa64991804f05d91178ffe5e15a26963691b4debdcfa3a97"", ""period_end"": ""2025-12-31"", ""period_start"": ""2025-01-01""}, ""unit"": ""USD"", ""value"": ""428000000""}",ordinary_native_source_projection,ordinary_projection_v1
Southwest Airlines,92380,B07,https://data.sec.gov/api/xbrl/companyfacts/CIK0000092380.json,evidence/request_attempts/7c/7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b/CIK0000092380.json,7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b,0000092380-26-000004,CIK0000092380.json,InterestExpenseNonoperating,"{""attributes"": {""accession"": ""0000092380-26-000004"", ""deterministic_router_semantic_version"": ""2"", ""entity"": ""92380"", ""filed"": ""2026-02-05"", ""fiscal_period"": ""FY"", ""form"": ""10-K"", ""frame"": ""CY2025""}, ""locator"": {""concept"": ""InterestExpenseNonoperating"", ""fact_id"": ""fact:sha256:fa4d50f368465b399e642e88f9fda4b81f1809de46f120e88a1375be23e59d50"", ""period_end"": ""2025-12-31"", ""period_start"": ""2025-01-01""}, ""verified_claim_id"": ""sha256:2fc0c5906fd3aac6e774db8a226b24036a6ba60cd87ff2318efb59bc1eed7bd2""}",USD,2025-01-01,2025-12-31,,167000000,"Parsed source fact: {""locator"": {""concept"": ""InterestExpenseNonoperating"", ""fact_id"": ""fact:sha256:fa4d50f368465b399e642e88f9fda4b81f1809de46f120e88a1375be23e59d50"", ""period_end"": ""2025-12-31"", ""period_start"": ""2025-01-01""}, ""unit"": ""USD"", ""value"": ""167000000""}",ordinary_native_source_projection,ordinary_projection_v1
