company,cik,metric_id,source_url,repo_relative_path,content_sha256,accession,document_name,concept_or_section,context_or_dimension,unit,period_start,period_end,value_raw,value_normalized,evidence_quote,extraction_method,parser_version
Southwest Airlines,92380,E03,https://www.sec.gov/Archives/edgar/data/92380/000009238025000025/0000092380-25-000025.hdr.sgml,evidence/accession_materials/southwest_airlines_92380_000009238025000025/0000092380-25-000025.hdr.sgml,ec34bab996366a7922af1ca60dd802e6ad11a63e556ae2a664f68d61259acd69,0000092380-25-000025,0000092380-25-000025.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0000092380-25-000025"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0000092380-25-000025"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000009238025000025/0000092380-25-000025.hdr.sgml""}, ""event_key_hash"": ""sha256:820c6a092b944d5ee604321a46f28ca669ae5bc87dcf424658cb05cde4e03990"", ""hdr_source_reference_id"": ""sha256:31cf6b1359b46b3a1f2638e4b5b6dfe8daf038aa92366fa049a0660c03215432"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 5.02 Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. Item 5.02(b) On February 4, 2025, Eduardo F. Conrado and Elaine Mendoza,"", ""primary_source_reference_id"": ""sha256:f25c214979bf8dc3078757973f0b3a0caa5791261685ff28427efa6a5f0e26a9"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000009238025000025/0000092380-25-000025.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:578cb7af882a2d2536c0ff92ca7a2f3b0042612b606771abe1ac934bd14e0b81""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
Southwest Airlines,92380,E03,https://www.sec.gov/Archives/edgar/data/92380/000009238025000075/0000092380-25-000075.hdr.sgml,evidence/accession_materials/southwest_airlines_92380_000009238025000075/0000092380-25-000075.hdr.sgml,e9dec595337f9768aedbc3dd70268620206b972a7eb64f2de2dfaeddedf18cdd,0000092380-25-000075,0000092380-25-000075.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0000092380-25-000075"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0000092380-25-000075"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000009238025000075/0000092380-25-000075.hdr.sgml""}, ""event_key_hash"": ""sha256:79612a768ae26b2a276c4d43351dbfb80f679a3254d53a676141215f8da3238e"", ""hdr_source_reference_id"": ""sha256:0943c8aca8c89e59aafcf82ebb656597ef0f5ea03f030f08118e87f3327f353e"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 5.02 Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. Item 5.02(c) On March 28, 2025 , the Board of Directors (the “Board”) of"", ""primary_source_reference_id"": ""sha256:91f1859c73787a716f8f22528e3df0b2164e6f3f4a9e8dcfc4867fa592fa9716"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000009238025000075/0000092380-25-000075.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:4cbae9aa351390b70798377a57dbc14a1442c4d7a4b28b8e08a49c608d176ae1""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
Southwest Airlines,92380,E03,https://www.sec.gov/Archives/edgar/data/92380/000119312525004026/0001193125-25-004026.hdr.sgml,evidence/accession_materials/southwest_airlines_92380_000119312525004026/0001193125-25-004026.hdr.sgml,0939db9f5dbf8a430bf61de2123558aa558d22a47c5a7e5160d680960b9038de,0001193125-25-004026,0001193125-25-004026.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0001193125-25-004026"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0001193125-25-004026"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000119312525004026/0001193125-25-004026.hdr.sgml""}, ""event_key_hash"": ""sha256:a55333e59edcca999aff8a74efc31b4dc883f920a04b5b1e85c4b957e0d70b37"", ""hdr_source_reference_id"": ""sha256:b00722cda11db0635e4b5f8ba2d78939ddf15e26f2fbb974f598ab45e81d0782"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 5.02. Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. (b) On January 7, 2025, Tammy Romo, Executive Vice President & Chief Fi"", ""primary_source_reference_id"": ""sha256:007b0fd4744d3b8d6d05a2de9b59f1fc2533bf23d2b6d7eb24cd3b51f50322ad"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000119312525004026/0001193125-25-004026.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:0656e292b38ceeb1802c4a82e63cbd70c2b02244dae1b732fb4e66dca6341042""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
Southwest Airlines,92380,E03,https://www.sec.gov/Archives/edgar/data/92380/000119312525023650/0001193125-25-023650.hdr.sgml,evidence/accession_materials/southwest_airlines_92380_000119312525023650/0001193125-25-023650.hdr.sgml,a28cb2ad5f1ee1b6053b747ec5d08ead23b7be548a3d8d8bf7309abef1ccaae4,0001193125-25-023650,0001193125-25-023650.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0001193125-25-023650"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0001193125-25-023650"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000119312525023650/0001193125-25-023650.hdr.sgml""}, ""event_key_hash"": ""sha256:d74b5958deb7ac1aff5928cc41c8e9af64324c7b256be193e4bb309423d4e5ef"", ""hdr_source_reference_id"": ""sha256:bfff58cd12e77421deee3ef891cf53812072981c4932e72eb45c9369abe2fd1c"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 5.02 Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. Item 5.02(c) On February 10, 2025, the Board of Directors (the “Board”)"", ""primary_source_reference_id"": ""sha256:2bc8f917bcbbeff454698a8442a1862935c7aa1903f39762122d715d14adb658"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/92380/000119312525023650/0001193125-25-023650.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:e5cc8ca3247edd98e2291c4212ca96ff0fd95b0a33453a2a766f83af11a6a2d5""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
