enphase_energy 10 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
ford_motor_company 19 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
jpmorgan_chase 47 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
lumen_technologies 14 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
macys 7 {'selected_fiscal_year': 2025, 'basis': 'EXPLICIT_SOURCE_ISSUER_DEFINITION', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
marriott_international 6 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
paramount_skydance_paramount_global 18 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
pfizer 20 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
salesforce 9 {'selected_fiscal_year': 2026, 'basis': 'EXPLICIT_SOURCE_ISSUER_DEFINITION', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': True}
southwest_airlines 11 {'selected_fiscal_year': 2025, 'basis': 'CONSISTENT_SOURCE_METADATA', 'original_dei_fiscal_year': 2025, 'original_companyfacts_fiscal_year_values': [2025], 'metadata_conflict_retained': False}
