assertion_id,description,expected,actual,status,evidence_path,notes
ANNUAL_COMPLETE_CUMULATIVE_KEYS,COMPLETE_CUMULATIVE_KEYS,True,True,PASS,internal/annual_complete_version.json,Recomputed native adoption and exact predecessor comparison; no old producer.
ANNUAL_EXACT_SELECTED_ADOPTION,EXACT_SELECTED_ADOPTION,True,True,PASS,internal/annual_complete_version.json,Recomputed native adoption and exact predecessor comparison; no old producer.
ANNUAL_NATIVE_GRAPH_AND_SOURCE_REPLAY,NATIVE_GRAPH_AND_SOURCE_REPLAY,True,True,PASS,internal/annual_complete_version.json,Recomputed native adoption and exact predecessor comparison; no old producer.
ANNUAL_NUMERIC_ROWS_HAVE_EVIDENCE,NUMERIC_ROWS_HAVE_EVIDENCE,True,True,PASS,internal/annual_complete_version.json,Recomputed native adoption and exact predecessor comparison; no old producer.
ANNUAL_UNCHANGED_ROWS_AND_PERIODS,UNCHANGED_ROWS_AND_PERIODS,True,True,PASS,internal/annual_complete_version.json,Recomputed native adoption and exact predecessor comparison; no old producer.
ANNUAL_UNIQUE_PUBLIC_KEYS,UNIQUE_PUBLIC_KEYS,True,True,PASS,internal/annual_complete_version.json,Recomputed native adoption and exact predecessor comparison; no old producer.
