company,cik,metric_id,source_url,repo_relative_path,content_sha256,accession,document_name,concept_or_section,context_or_dimension,unit,period_start,period_end,value_raw,value_normalized,evidence_quote,extraction_method,parser_version
Marriott International,1048286,E03,https://www.sec.gov/Archives/edgar/data/1048286/000119312525009110/0001193125-25-009110.hdr.sgml,evidence/accession_materials/marriott_international_1048286_000119312525009110/0001193125-25-009110.hdr.sgml,0b7fcc3b211556d4e1426e93c53dc37170a505bdcc8ad1309de1fc9690b2e9f7,0001193125-25-009110,0001193125-25-009110.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0001193125-25-009110"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0001193125-25-009110"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1048286/000119312525009110/0001193125-25-009110.hdr.sgml""}, ""event_key_hash"": ""sha256:ed9880e38ec54dccd80a9f7ce5a960600426598bc5b72f03ea815b9cc25c5bab"", ""hdr_source_reference_id"": ""sha256:36c617d02d818b4902d5acf94a0d1d04d4efd5d3400922c92295f8bbf0c17094"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 5.02. Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. On January 17, 2025, the Board of Directors (the “Board”) of Marriott I"", ""primary_source_reference_id"": ""sha256:fad6b06c485aa6415e0dfdfb312d09e774c0d42951288db4d0bbe035c62c52bb"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1048286/000119312525009110/0001193125-25-009110.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:298484a847e3d30a1f1f04475b7a90c7c3167ce6b7cac2e14c2350059550c5de""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
Marriott International,1048286,E03,https://www.sec.gov/Archives/edgar/data/1048286/000119312525118861/0001193125-25-118861.hdr.sgml,evidence/accession_materials/marriott_international_1048286_000119312525118861/0001193125-25-118861.hdr.sgml,dceca997691cdbc0425a03c514b044a38d87b93062797c344b7e5dd45dd78602,0001193125-25-118861,0001193125-25-118861.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0001193125-25-118861"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0001193125-25-118861"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1048286/000119312525118861/0001193125-25-118861.hdr.sgml""}, ""event_key_hash"": ""sha256:0751e7d536fe8c72bc7f85612089263b810b70e31ea72c554bfd7ce385cc2b57"", ""hdr_source_reference_id"": ""sha256:2afc5ddf640c0aaa4cb4142cb7a0d46731c1d8f777997290321cee9e191449d9"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 5.02. Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. Marriott International, Inc. (the “Company”) filed a Current Report on"", ""primary_source_reference_id"": ""sha256:317b5401fbe6ef4544bf193a8a0f144c0359e680e7c6293ab7ff264d2a1b6be5"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1048286/000119312525118861/0001193125-25-118861.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:6ae0e5d4dd6981ed98ed917dcacd19752794178f9d94430ebd9d46b75975ef35""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
Marriott International,1048286,E03,https://www.sec.gov/Archives/edgar/data/1048286/000119312525158742/0001193125-25-158742.hdr.sgml,evidence/accession_materials/marriott_international_1048286_000119312525158742/0001193125-25-158742.hdr.sgml,12606dfc17776def4d014b710c69365107ba57352ff38843233a631bba6bef4e,0001193125-25-158742,0001193125-25-158742.hdr.sgml,Item 5.02,"{""attributes"": {""accession"": ""0001193125-25-158742"", ""brief"": ""8-K item 5.02 parsed from hdr.sgml"", ""brief_source"": ""HDR_SGML_ITEM_CODE"", ""deterministic_router_semantic_version"": ""2"", ""event_key"": {""accession"": ""0001193125-25-158742"", ""item_code"": ""5.02"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1048286/000119312525158742/0001193125-25-158742.hdr.sgml""}, ""event_key_hash"": ""sha256:241d743805871a434fb26a1123bf1af2bec6fcc650d887738ad95006a5acfaf3"", ""hdr_source_reference_id"": ""sha256:87109107b65e3837910d65360fdbd0f86f569c832c94c35dc8f477db39c33cfc"", ""item_code"": ""5.02"", ""primary_heading_brief"": ""l accounting standards provided pursuant to Section 13(a) of the Exchange Act ☐ Item 5.02. Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. On July 11, 2025, Kathleen K. Oberg, Chief Financial Officer and Execut"", ""primary_source_reference_id"": ""sha256:691fb329e31d5d498d01bf3693695a2b456bbc6e9ddef8f6c88f3894f5357caf"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1048286/000119312525158742/0001193125-25-158742.hdr.sgml""}, ""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""verified_claim_id"": ""sha256:17e543c70feb68c010ec513a32726fd39fcecca75626a343516ec8b2382dac21""}",count,2025-01-01,2025-12-31,,1,"Parsed source fact: {""locator"": {""brief_source"": ""HDR_SGML_ITEM_CODE"", ""item_code"": ""5.02""}, ""unit"": ""text"", ""value"": ""8-K item 5.02 parsed from hdr.sgml""}",ordinary_native_source_projection,ordinary_projection_v1
