audit_id,source_bucket,company,metric_id,metric_name,value,unit,status,source_class,period_start,period_end,accession,concept_or_section,context_or_dimension,evidence_value,evidence_unit,evidence_quote,audit_verdict,audit_notes
AUDIT_01,MDA,Marriott International,B10,Occupancy rate,69.3,percent,MDA_OK,MDA,2025-01-01,2025-12-31,0001048286-26-000007,MD&A occupancy,MD&A occupancy,69.3,percent,MD&A occupancy=69.3 unit=percent accn=0001048286-26-000007 filed=,PASS,Candidate Result and all evidence rows are bound.
AUDIT_02,MDA,Marriott International,B11,RevPAR,128.8,USD,MDA_OK,MDA,2025-01-01,2025-12-31,0001048286-26-000007,MD&A RevPAR,MD&A RevPAR,128.8,USD,MD&A RevPAR=128.8 unit=USD accn=0001048286-26-000007 filed=,PASS,Candidate Result and all evidence rows are bound.
